player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,win_prob_model,win_fair_odds_dec,win_prob_anchored,win_fair_odds_dec_anchored,top5_prob_model,top5_fair_odds_dec,top5_prob_anchored,top5_fair_odds_dec_anchored,top10_prob_model,top10_fair_odds_dec,top10_prob_anchored,top10_fair_odds_dec_anchored,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,sg_total,driving_acc,driving_dist,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"Kim, Michael",17543,0.11345,0.144762964562864,0.6097560975609756,0.59165,0.00485,206.18556701030928,0.003925,254.77707006369428,0.0336,29.761904761904763,0.0298142757936508,33.5409790571857,0.0777,12.87001287001287,0.0715426671245421,13.97767290754189,0.1811,5.521811154058531,0.1737421757756135,5.75565486926727,0.1825099555428232,5.479153161951021,0.1750948469172865,5.71119034972167,0.213,-0.162,0.11,0.258,0.419,-0.018,-1.952,0.0570397426308005,-0.0268258995420647,0.119644504840068,2.78623409086907,34.0,unibet,0.029411764705882353,0.0004025110877684465,True,False
"McKibbin, Tom",22322,0.0761999999999999,0.0543613996152628,0.5780346820809249,0.55375,0.00325,307.6923076923077,0.0027916666666666,358.20895522388275,0.0251,39.8406374501992,0.021925376984127,45.609249990271806,0.05885,16.99235344095157,0.0550689231601731,18.15906218270159,0.1485,6.734006734006734,0.1438323767436264,6.952537548499574,0.1484739321789321,6.7351890350345,0.1438071282812648,6.953758217354515,-0.072,0.41,0.089,0.044,0.47,0.036,3.568,-0.0241807555590908,-0.0502557187049099,-0.0473204573359123,2.77620492211818,46.0,unibet,0.021739130434782608,0.00018624654934439044,True,False
"Greyserman, Max",23465,0.0041,0.0116676006272414,0.5649717514124294,0.5344,0.00345,289.8550724637681,0.0029916666666666,334.2618384401133,0.0267,37.45318352059925,0.023220248015873,43.06586214395365,0.06,16.666666666666668,0.0559421173039923,17.87561944725741,0.1448,6.906077348066297,0.1402025465275465,7.132538065587301,0.1447374717765894,6.90906085152266,0.1401420035983199,7.135619402632747,0.017,-0.223,0.161,0.344,0.299,-0.066,6.333,0.1448081150937408,-0.0092138704857263,-0.100059709093239,2.88272700587422,41.0,williamhill,0.024390243902439025,-0.0011699958865660255,False,False
"Schwartzel, Charl",7398,-0.0852,-0.0546624617853093,0.4566210045662101,0.51555,0.0018,555.5555555555555,0.0012166666666666,821.9178082191894,0.01715,58.30903790087464,0.0117688591269841,84.97000339711443,0.04305,23.2288037166086,0.0311043749999999,32.14981815259108,0.1164,8.59106529209622,0.0917076748945499,10.90421277335676,0.1170905014430014,8.540402403919932,0.0922516979344897,10.83990888395491,0.015,-0.449,0.057,0.131,-0.246,-0.019,-3.583,0.0310288859352857,0.316951473460066,-0.116054799956882,2.77730557699732,77.0,draftkings,0.012987012987012988,-0.001218153860028888,False,False
"Knapp, Jake",19396,0.28505,0.3370783932212458,0.7352941176470588,0.65835,0.0142,70.4225352112676,0.0155416666666666,64.34316353887407,0.0659,15.174506828528072,0.0771934986772487,12.954458822770404,0.1351,7.401924500370097,0.155580330063455,6.427547747148627,0.27,3.7037037037037033,0.3023836195748695,3.307057443805756,0.2714432323232323,3.6840115387706858,0.3039999522185229,3.289474201236632,0.211,0.396,0.063,0.637,1.307,-0.023,13.694,0.1314995253423968,-0.048818544510134,0.165256349146433,2.90427662062766,12.75,draftkings,0.0784313725490196,-0.001237873871770906,False,False
"Willett, Danny",12920,-0.529,-0.4700520040652882,0.2976190476190476,0.3502,0.0005,2000.0,0.000325,3076.923076923077,0.0041,243.90243902439025,0.0027447321428571,364.3342766988769,0.01305,76.62835249042145,0.0090549239417989,110.43715070690418,0.0434,23.04147465437788,0.0319343132099382,31.31427920262248,0.0434988329725829,22.98912250428174,0.0320070358620565,31.24313055135086,-0.761,-0.503,0.084,0.069,-1.111,-0.018,-8.905,0.0079337661951632,0.34566731855135,0.027555724564883,2.86549753022118,251.0,unibet,0.00398406374501992,-0.0012393316021628202,False,False
"Rai, Aaron",18554,0.278,0.2127850727053746,0.591715976331361,0.62285,0.00525,190.47619047619045,0.0036083333333333,277.13625866051063,0.0376,26.595744680851062,0.0288608697089947,34.648990487225085,0.08845,11.305822498586773,0.0713688431938432,14.011716531314988,0.2083,4.800768122899664,0.1779195165482665,5.6205188694334005,0.2082698286435786,4.801463594188404,0.1778937456738156,5.621333095282568,0.45,0.154,0.111,-0.191,0.524,0.103,-11.296,-0.1592440787151945,-0.0085530602143872,-0.160415762597142,2.71582923653911,33.0,draftkings,0.030303030303030304,-0.0014421605940356033,False,False
"Campbell, Brian",18628,-0.4523,-0.5035684805479061,0.2710027100271003,0.3427,0.00025,4000.0,0.0001333333333333,7500.0,0.0031,322.5806451612903,0.0019011111111111,526.0081823495063,0.00955,104.71204188481676,0.0063406156806156,157.71339099721365,0.03585,27.89400278940028,0.0256610098003848,38.96962776519436,0.035383115079365,28.26206787494484,0.0253268190465754,39.483837198861096,-0.487,-0.755,-0.043,0.086,-1.2,0.049,-22.249,-0.1146944440701686,0.0077075667030802,-0.147428633696672,2.7941079829341,251.0,unibet,0.00398406374501992,-0.0020829526339088203,False,False
"Garcia, Sergio",5689,0.12025,0.1031963824481759,0.5405405405405405,0.5797,0.00425,235.2941176470588,0.0030166666666666,331.4917127071841,0.0289,34.602076124567475,0.0218058035714285,45.85935100829158,0.07105,14.074595355383533,0.0555838805638805,17.990827373967456,0.1728,5.787037037037036,0.1432108494745995,6.98271118193014,0.1728207792207792,5.786341228808465,0.1432280705964699,6.981871611029344,0.164,0.217,-0.005,-0.237,0.139,0.049,-2.091,-0.088259934668794,0.0132070918739192,-0.0069134719957658,2.78571700650115,41.0,unibet,0.024390243902439025,-0.002584440331010525,False,False
"Hojgaard, Rasmus",23838,0.16255,0.1836055527859625,0.6369426751592356,0.6081,0.0081,123.4567901234568,0.00685,145.98540145985402,0.04365,22.90950744558992,0.0406632605820106,24.59222368514145,0.09385,10.655301012253595,0.0909661148111148,10.993104433188496,0.2017,4.95785820525533,0.202225828962704,4.944966748952862,0.2032004906204906,4.921247960309603,0.203730231340391,4.908451698212657,0.146,0.191,-0.074,0.419,0.682,-0.059,14.496,0.1423798843039279,-0.0084232931856463,-0.0307846504848803,2.88900293204541,23.0,bet365,0.043478260869565216,-0.002815000287554617,False,False
