player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,make_cut_fair_odds_dec_model,p_miss_cut_model,miss_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,ev_per_unit,value_flag,bet_flag
"Thompson, Davis",27364,0.2623,0.2475189937883518,0.6666666666666666,0.65645,0.25375,3.9408866995073897,0.245469846862016,4.073820115926996,0.2528610585248085,3.954741017988298,0.2446099125653281,4.088141766261942,0.317,0.391,0.07,-0.168,-0.0942327574778759,-0.01844073525834,-0.0221784685047179,2.82432218459305,1.5233452662045852,0.34355,2.9107844564110024,2.5,williamhill,0.4,-0.05645,-0.14112499999999994,False,False
"Rodgers, Patrick",16283,0.10525,0.11527310200165,0.6329113924050632,0.615,0.1934,5.17063081695967,0.195097139874695,5.125651768356367,0.1918587677600177,5.212167323261595,0.1935423828845026,5.1668269507498765,0.122,0.061,0.11,0.119,0.0271895100876936,0.0284238275635805,0.0294147980735084,2.82383825418159,1.6260162601626016,0.385,2.5974025974025974,2.25,bet365,0.4444444444444444,-0.05944444444444441,-0.13374999999999998,False,False
"Kim, Tom",24766,0.11975,0.1419408370899464,0.625,0.61735,0.1999,5.002501250625313,0.197960133847634,5.051522145209702,0.2000934570984571,4.997664663807294,0.1981517136030334,5.046638163338554,0.239,-0.17,0.209,0.099,0.0398652464704104,-0.0814989864416441,0.111396308824938,2.81869064945359,1.619826678545396,0.38265000000000005,2.6133542401672543,2.25,bet365,0.4444444444444444,-0.061794444444444374,-0.13903749999999993,False,False
"Zalatoris, Will",19428,0.32365,0.3259720401547881,0.6578947368421053,0.6805,0.28395,3.521746786406058,0.261122836006586,3.8296152695537446,0.2837288654401155,3.5244915897041937,0.2609194787837788,3.832600021513493,0.504,0.249,0.03,-0.188,-0.0539143501754782,-0.0443052044453729,0.0496436769730226,2.86864360308893,1.4695077149155034,0.3195,3.1298904538341157,2.6,betmgm,0.3846153846153846,-0.06511538461538458,-0.1693,False,False
"Kirk, Chris",12423,0.1308,0.1426286203484327,0.5813953488372093,0.62305,0.20605,4.85319097306479,0.1785034298571799,5.60213325200584,0.205822062104562,4.858565645367883,0.1783059646976065,5.608337341355487,0.246,0.046,0.023,-0.183,-0.0304033201447411,0.309961991058992,-0.0031457359502135,2.7834251426491,1.605007623786213,0.37695,2.652871733651678,2.25,bet365,0.4444444444444444,-0.06749444444444441,-0.1518625,False,False
"Wallace, Matt",20706,0.14365,0.1596091173639371,0.6369426751592356,0.6273,0.20995,4.763038818766373,0.2040616821488695,4.900479058437185,0.2101870285270285,4.757667525954901,0.2042920629059197,4.894952773865318,0.22,0.029,0.177,-0.023,0.0125901647879953,0.105934906643995,0.0470167777646892,2.80711297649934,1.5941335883947076,0.37270000000000003,2.6831231553528303,2.25,bet365,0.4444444444444444,-0.07174444444444439,-0.16142499999999993,False,False
"Smith, Jordan",18586,0.33045,0.3314313203748932,0.6993006993006994,0.6919,0.28655,3.489792357354737,0.2846338243931995,3.513285893311744,0.2860225813075813,3.496227449694351,0.2841099325785786,3.5197643071610027,0.381,0.526,-0.066,-0.04,-0.118248126218365,-0.0443052044453729,0.0751069660949917,2.8226903721825,1.4452955629426218,0.30810000000000004,3.2456994482310932,2.63,bet365,0.3802281368821293,-0.07212813688212927,-0.1896969999999999,False,False
"Smotherman, Austin",22985,0.27025,0.2462163986010682,0.5847953216374269,0.65585,0.25275,3.9564787339268057,0.206320605783106,4.84682562948292,0.2521205533355533,3.966356517824534,0.2058067865264619,4.858926262236856,0.409,0.372,-0.17,-0.307,-0.1444660073136162,-0.0114943888491058,-0.0450614061255742,2.85214431769248,1.52473888846535,0.34414999999999996,2.9057097195990123,2.25,bet365,0.4444444444444444,-0.10029444444444446,-0.2256625000000001,False,False
"Parry, John",13764,0.2247,0.2186573553016479,0.6493506493506493,0.65805,0.23295,4.2927666881305,0.219229150035694,4.561437198644359,0.2325968158230658,4.299284994342703,0.2188967685507601,4.568363464753977,0.314,0.234,-0.004,-0.061,-0.0438875132960898,-0.0443052044453729,0.0028068342676277,2.73381183210561,1.5196413646379454,0.34195,2.924404152653897,,,,,,False,False
"Li, Haotong",15310,0.20905,0.1931832529201877,0.6329113924050632,0.6425,0.2326,4.299226139294927,0.2163099961265585,4.622994858799409,0.2309744816294816,4.329482603208751,0.2147983199768144,4.655529894777303,0.249,0.364,-0.167,-0.022,-0.0839163442459485,-0.0323486708142442,-0.0292883955725262,2.85789612085562,1.556420233463035,0.35750000000000004,2.797202797202797,,,,,,False,False
