player_name,dg_id,skill_pred,custom_pred,p_make_cut,p_make_cut_model,top20_prob_model,top20_fair_odds_dec,top20_prob_anchored,top20_fair_odds_dec_anchored,top20_prob_dh,top20_fair_odds_dec_dh,top20_prob_anchored_dh,top20_fair_odds_dec_anchored_dh,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag
"Finau, Tony",11676,0.0897,0.1323564701472884,0.6172839506172839,0.61355,0.20805,4.806536890170632,0.20805,4.806536890170632,0.2060745217282717,4.852613470182367,0.2060745217282717,4.852613470182367,0.207,-0.235,0.257,0.089,0.104567963764891,0.0565313462290383,0.146865532296737,2.86937049558346,1.6298590171950125,1.5,bet365,0.6666666666666666,-0.05311666666666659,False,False
"Bezuidenhout, Christiaan",18103,0.08525,0.1054464376375506,0.6666666666666666,0.6134,0.1845,5.420054200542006,0.1845,5.420054200542006,0.1846623182373182,5.415289971150761,0.1846623182373182,5.415289971150761,0.165,-0.294,0.284,0.396,0.1263679977172208,0.0272648379101686,0.0309819798516007,2.70958598458951,1.6302575806977504,1.5,bet365,0.6666666666666666,-0.053266666666666684,False,False
"Poston, J.T.",21554,0.1254,0.1192788697325548,0.6451612903225806,0.60915,0.1901,5.260389268805892,0.1901,5.260389268805892,0.1901994413919414,5.257638995581032,0.1901994413919414,5.257638995581032,0.104,0.192,0.043,0.159,-0.0161379361569174,0.130802496689253,-0.0552373074310805,2.76272707666183,1.641631781991299,1.5,bet365,0.6666666666666666,-0.05751666666666666,False,False
"Castillo, Ricky",27819,0.11335,0.1216216758784703,0.6711409395973155,0.60805,0.20495,4.8792388387411565,0.20495,4.8792388387411565,0.2054237293262293,4.867986786530975,0.2054237293262293,4.867986786530975,0.024,0.273,0.138,0.181,-0.006947322284977,-0.0349786345861505,0.0535766991813778,2.85694264120949,1.6446015952635475,1.5,bet365,0.6666666666666666,-0.05861666666666665,False,False
"Jaeger, Stephan",16394,0.039,0.0787613089604069,0.6289308176100629,0.5916,0.1809,5.527915975677169,0.1809,5.527915975677169,0.1813332731157731,5.5147077136888445,0.1813332731157731,5.5147077136888445,0.068,-0.202,0.244,0.277,0.1302779543187229,-0.0197299009748707,0.138600042886391,2.84447486142431,1.690331304935767,1.53,bet365,0.6535947712418301,-0.06199477124183006,False,False
"Thorbjornsen, Michael",26649,0.34205,0.3362275595553819,0.7462686567164178,0.6842,0.28945,3.454828122300916,0.28945,3.454828122300916,0.2890262928737929,3.459892835551342,0.2890262928737929,3.459892835551342,0.329,0.586,0.084,0.062,-0.1195817835245721,-0.0328747912504314,0.0388973873518035,2.87532233947409,1.4615609470914936,1.33,williamhill,0.7518796992481203,-0.06767969924812023,False,False
"Harman, Brian",8825,0.0971,0.0724116297646939,0.5813953488372093,0.59195,0.1806,5.537098560354374,0.1806,5.537098560354374,0.1802357675657675,5.548288297632725,0.1802357675657675,5.548288297632725,0.138,0.01,0.154,0.033,0.0028970218716218,0.258896223715279,-0.189614418041161,2.78957154992239,1.689331869245713,1.5,williamhill,0.6666666666666666,-0.07471666666666665,False,False
"Aberg, Ludvig",23950,0.5193,0.507280200235982,0.8,0.74145,0.3816,2.620545073375262,0.3816,2.620545073375262,0.3802856471306472,2.6296022675198407,0.3802856471306472,2.6296022675198407,0.591,0.617,0.113,0.287,-0.0812681509645932,-0.0337288335771563,-0.0110327149435048,2.90732570841902,1.3487086115044844,1.22,williamhill,0.819672131147541,-0.07822213114754095,False,False
"Matsuyama, Hideki",13562,0.4106000000000001,0.3986806223767794,0.7575757575757576,0.7188,0.3195,3.129890453834116,0.3195,3.129890453834116,0.3202479545454545,3.122580443704488,0.3202479545454545,3.122580443704488,0.618,-0.01,0.451,0.281,0.0956337992963016,0.0399883321106433,-0.117410870791915,2.80903480159035,1.391207568169171,1.25,bet365,0.8,-0.08120000000000005,False,False
"Fleetwood, Tommy",12294,0.5418000000000001,0.4962671654950011,0.819672131147541,0.75115,0.3688,2.7114967462039044,0.3688,2.7114967462039044,0.3705276001776,2.698854281086438,0.3705276001776,2.698854281086438,0.661,0.485,0.328,0.242,-0.0570346963280789,-0.0129299996985325,-0.195914324436322,2.76707152010825,1.331292018904347,1.2,betmgm,0.8333333333333334,-0.08218333333333339,False,False
