player_name,dg_id,skill_pred,custom_pred,p_make_cut,top20_prob_model,top20_fair_odds_dec,sg_app,sg_ott,sg_arg,sg_putt,total_fit_adjustment,total_course_history_adjustment,timing_adjustment,std_deviation,p_make_cut_model,make_cut_fair_odds_dec_model,market_odds_best_dec,market_book_best,market_prob_best,edge_prob,value_flag,bet_flag,ev_per_unit
"Hovland, Viktor",18841,0.5271000000000001,0.5128959656423414,0.7407407407407407,0.36965,2.7052617340727716,0.806,0.278,0.018,0.125,0.0294948518895522,-0.0422573698460968,-0.0752032552715456,2.72026478654804,0.7407407407407407,1.35,1.29,bet365,0.7751937984496123,-0.03445305770887164,False,False,-0.04444444444444448
"Higgo, Garrick",24342,0.13455,0.1543882439272682,0.6578947368421053,0.20005,4.998750312421895,0.067,0.244,0.053,0.314,0.0189281474065731,0.0690654317117653,0.0724607880051132,2.79675084441669,0.6578947368421053,1.5199999999999998,1.44,bet365,0.6944444444444444,-0.03654970760233911,False,False,-0.05263157894736836
"Penge, Marco",22465,0.2505,0.2260122257931522,0.6289308176100629,0.22095,4.5259108395564605,0.147,0.825,-0.212,-0.154,0.0042875093671174,-0.0450174913815942,-0.113328252872399,2.82785204509544,0.6289308176100629,1.59,1.5,bet365,0.6666666666666666,-0.037735849056603765,False,False,-0.0566037735849057
"Schauffele, Xander",19895,0.59655,0.605169460188052,0.8064516129032259,0.42155,2.3721978412999647,0.777,0.542,0.153,0.184,0.0388747682626266,0.185706901069861,-0.0227668084585191,2.76679439974225,0.8064516129032259,1.24,1.18,bet365,0.8474576271186441,-0.041006014215418274,False,False,-0.04838709677419353
"Young, Cameron",26651,0.4022,0.4215516733968381,0.7874015748031495,0.31835,3.1411967959792677,0.396,0.502,0.138,0.451,0.0486402762510594,0.0796697365394535,0.0525207947237973,2.78531535799595,0.7874015748031495,1.27,1.2,bet365,0.8333333333333334,-0.04593175853018383,False,False,-0.0551181102362206
"Fowler, Rickie",12965,0.31965,0.3349613503196213,0.7042253521126761,0.27605,3.6225321499728302,0.34,0.419,0.077,0.202,0.035617868070431,0.237342889492813,-0.0005879048103121,2.74168461661024,0.7042253521126761,1.42,1.33,bet365,0.7518796992481203,-0.04765434713544414,False,False,-0.0633802816901407
"Poston, J.T.",21554,0.2780500000000001,0.2795384655958502,0.684931506849315,0.24305,4.114379757251594,0.329,0.276,0.126,0.155,0.0305180399801616,0.165839451174931,-0.0492765548045624,2.65004942938808,0.684931506849315,1.4600000000000002,1.36,bet365,0.7352941176470588,-0.050362610797743734,False,False,-0.0684931506849315
"Fitzpatrick, Matt",17646,0.2955,0.2746119906214729,0.7246376811594204,0.23545,4.247186239116585,0.4,0.032,0.29,0.385,0.0442304780128606,0.0609158832366853,-0.141784256708237,2.70699682027706,0.7246376811594204,1.38,1.29,bet365,0.7751937984496123,-0.05055611729019194,False,False,-0.06521739130434767
"Berger, Daniel",17606,0.3459500000000001,0.3506895419376096,0.6622516556291391,0.2708,3.6927621861152145,0.464,0.433,-0.113,-0.062,0.0161341424604823,0.265666384030042,-0.0507859575497041,2.68397550132122,0.6622516556291391,1.5099999999999998,1.4,bet365,0.7142857142857143,-0.05203405865657518,False,False,-0.07284768211920528
"Novak, Andrew",23475,0.15265,0.1717506321433544,0.641025641025641,0.19915,5.021340697966357,0.253,-0.09,0.114,0.246,0.0151438805889754,0.0353645487860171,0.0790900832257802,2.7255473019861,0.641025641025641,1.56,1.44,bet365,0.6944444444444444,-0.05341880341880345,False,False,-0.07692307692307704
"Bridgeman, Jacob",29433,0.1253,0.1209233335233793,0.641025641025641,0.1752,5.707762557077626,0.122,0.05,0.147,0.31,0.0250310652379025,-0.0379375311234779,-0.024914482221185,2.68968247504085,0.641025641025641,1.56,1.44,skybet,0.6944444444444444,-0.05341880341880345,False,False,-0.07692307692307704
"Greyserman, Max",23465,0.09545,0.0837647300558821,0.641025641025641,0.16455,6.077180188392585,0.095,0.008,0.157,0.255,0.0185994871335178,-0.0202168780425927,-0.0626718737767002,2.77998424133721,0.641025641025641,1.56,1.44,skybet,0.6944444444444444,-0.05341880341880345,False,False,-0.07692307692307704
"Burns, Sam",19483,0.3094,0.3000209261464773,0.7462686567164178,0.24575,4.069175991861648,0.303,0.319,0.046,0.584,0.0496245564273312,0.11865298663002,-0.101370894138784,2.74870947455154,0.7462686567164178,1.34,1.25,bet365,0.8,-0.0537313432835822,False,False,-0.0671641791044777
"Mitchell, Keith",17365,0.31155,0.3392258287338955,0.6578947368421053,0.2814,3.5536602700781805,0.33,0.641,-0.11,-0.192,0.0077678562856926,0.149264565831002,0.0971790740688809,2.761253067634,0.6578947368421053,1.5199999999999998,1.4,bet365,0.7142857142857143,-0.05639097744360899,False,False,-0.0789473684210526
"Conners, Corey",17576,0.44225,0.4174097729522674,0.6802721088435374,0.31875,3.1372549019607847,0.624,0.435,-0.04,-0.057,0.0202224670746259,0.0496197460805279,-0.146717305296108,2.70880962346498,0.6802721088435374,1.47,1.33,bet365,0.7518796992481203,-0.07160759040458287,False,False,-0.0952380952380952
"Matsuyama, Hideki",13562,0.4523,0.4908157065101858,0.7575757575757576,0.36,2.7777777777777777,0.711,0.045,0.426,0.074,0.0343746864815568,0.325066319735098,0.0941246093763763,2.72022633214434,0.7575757575757576,1.32,1.2,bet365,0.8333333333333334,-0.0757575757575758,False,False,-0.09090909090909094
"Theegala, Sahith",23014,0.19795,0.2581932711483155,0.6711409395973155,0.23235,4.303851947493007,0.277,0.038,0.166,0.195,0.0217895490563218,0.132268718324653,0.257254401632253,2.75318709761568,0.6711409395973155,1.49,1.33,bet365,0.7518796992481203,-0.08073875965080479,False,False,-0.10738255033557037
"Taylor, Nick",13126,0.18995,0.1897095080297455,0.6493506493506493,0.1883,5.310674455655868,0.229,0.132,0.169,0.141,0.0269065690380824,0.244900176712588,-0.0758807885484605,2.64126778594852,0.6493506493506493,1.54,1.36,williamhill,0.7352941176470588,-0.08594346829640942,False,False,-0.11688311688311684
"Bhatia, Akshay",26096,0.21875,0.1875265187462887,0.6060606060606061,0.2071,4.8285852245292125,0.395,0.004,-0.055,0.06,0.0040658774615794,-0.0246998344685358,-0.151975386382212,2.70957444157141,0.6060606060606061,1.65,1.44,skybet,0.6944444444444444,-0.08838383838383834,False,False,-0.12727272727272726
"Straka, Sepp",17511,0.29005,0.2590984773428908,0.6622516556291391,0.22595,4.425757911042266,0.401,0.252,-0.035,0.1,0.0208694950750101,-0.0024700520311563,-0.164574847815262,2.71661113022468,0.6622516556291391,1.5099999999999998,1.33,bet365,0.7518796992481203,-0.08962804361898113,False,False,-0.11920529801324492
"Clark, Wyndham",23604,0.0685,0.0843564397087954,0.6369426751592356,0.16855,5.932957579353308,0.042,-0.018,0.236,0.263,0.0231508845950509,0.14289991161327,0.0319817783431344,2.80318032459754,0.6369426751592356,1.57,1.36,bet365,0.7352941176470588,-0.09835144248782313,False,False,-0.13375796178343946
"Spieth, Jordan",14636,0.2094499999999999,0.1788470724936671,0.6493506493506493,0.19565,5.111167901865577,0.216,0.261,0.152,0.102,0.0203066229267915,0.241496078018985,-0.223541968499806,2.6985691636099,0.6493506493506493,1.54,1.33,bet365,0.7518796992481203,-0.10252904989747091,False,False,-0.13636363636363633
"Koepka, Brooks",16243,0.06955,0.0973184007000806,0.5464480874316939,0.18,5.555555555555555,0.1,0.163,-0.018,-0.244,-0.0104110873448126,0.182911865611623,0.098319580769904,2.79927147670078,0.5464480874316939,1.8300000000000003,1.5,unibet,0.6666666666666666,-0.1202185792349727,False,False,-0.1803278688524591
"Hoey, Rico",23504,0.41165,0.3994362800503448,0.6329113924050632,0.3056,3.2722513089005236,0.613,0.548,-0.14,-0.485,-0.0062110662156458,-0.0410971975615773,-0.0476887672500587,2.77172803769887,0.6329113924050632,1.58,,,,,False,False,
